TIME,WBHP:A-35,WBHP:A-17,WBHP:A-13,WBHP:A-39A,WBHP:A-2AH,WBHP:A-5H,WBHP:A-10,WBHP:A-38,WBHP:A-1H,WGIR:A-35,WGIR:A-17,WGIR:A-13,WGIR:A-39A,WGIR:A-2AH,WGIR:A-5H,WGIR:A-10,WGIR:A-38,WGIR:A-1H,WGOR:A-35,WGOR:A-17,WGOR:A-13,WGOR:A-39A,WGOR:A-2AH,WGOR:A-5H,WGOR:A-10,WGOR:A-38,WGOR:A-1H,WGPT:A-35,WGPT:A-17,WGPT:A-13,WGPT:A-39A,WGPT:A-2AH,WGPT:A-5H,WGPT:A-10,WGPT:A-38,WGPT:A-1H,WGPR:A-35,WGPR:A-17,WGPR:A-13,WGPR:A-39A,WGPR:A-2AH,WGPR:A-5H,WGPR:A-10,WGPR:A-38,WGPR:A-1H,WOPT:A-35,WOPT:A-17,WOPT:A-13,WOPT:A-39A,WOPT:A-2AH,WOPT:A-5H,WOPT:A-10,WOPT:A-38,WOPT:A-1H,WOPR:A-35,WOPR:A-17,WOPR:A-13,WOPR:A-39A,WOPR:A-2AH,WOPR:A-5H,WOPR:A-10,WOPR:A-38,WOPR:A-1H,WPI1:A-35,WPI1:A-17,WPI1:A-13,WPI1:A-39A,WPI1:A-2AH,WPI1:A-5H,WPI1:A-10,WPI1:A-38,WPI1:A-1H,WWCT:A-35,WWCT:A-17,WWCT:A-13,WWCT:A-39A,WWCT:A-2AH,WWCT:A-5H,WWCT:A-10,WWCT:A-38,WWCT:A-1H,
9315.00,318.137,0,0,253.418,0,0,0,278.762,0,0,0,0,0,0,0,0,0,0,0,0,0,102.626,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.14306e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,17989.8,0,0,0,0,0,560917,1.00361e+06,127379,2.98461e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,175.294,0,0,0,0,0,1029.25,0,0,7.29478,0,0,0,0,0,0,0,0,0.824706,0,0,0,0,0,
9528.00,320,0,0,241.706,0,0,0,269.839,0,0,0,0,0,0,0,0,0,0,0,0,0,100.401,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.18372e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,21284.9,0,0,0,0,0,560917,1.00361e+06,127379,3.02464e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,211.999,0,0,0,0,0,1041.84,0,0,8.89725,0,0,0,0,0,0,0,0,0.788001,0,0,0,0,0,
9679.00,320,0,0,238.437,0,0,0,265.812,0,0,0,0,0,0,0,0,0,0,0,0,0,99.5104,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.21813e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,23581.9,0,0,0,0,0,560917,1.00361e+06,127379,3.0591e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,236.979,0,0,0,0,0,1044.26,0,0,10.0888,0,0,0,0,0,0,0,0,0.763021,0,0,0,0,0,
9893.00,320,0,0,234.015,0,0,0,262.604,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7486,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.27071e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,27145.8,0,0,0,0,0,560917,1.00361e+06,127379,3.11213e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,274.898,0,0,0,0,0,1048.11,0,0,11.0499,0,0,0,0,0,0,0,0,0.725102,0,0,0,0,0,
10258.00,320,0,0,231.102,0,0,0,260.047,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5107,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.38378e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,33365.4,0,0,0,0,0,560917,1.00361e+06,127379,3.22752e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,342.172,0,0,0,0,0,1055.29,0,0,13.6131,0,0,0,0,0,0,0,0,0.657828,0,0,0,0,0,
10623.00,320,0,0,230.568,0,0,0,258.813,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8171,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.50917e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,35310.8,0,0,0,0,0,560917,1.00361e+06,127379,3.35666e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,364.716,0,0,0,0,0,1062.61,0,0,14.9428,0,0,0,0,0,0,0,0,0.635284,0,0,0,0,0,
10989.00,320,0,0,230.22,0,0,0,258.02,0,0,0,0,0,0,0,0,0,0,0,0,0,109.4,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.65044e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,41860.2,0,0,0,0,0,560917,1.00361e+06,127379,3.49379e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,382.635,0,0,0,0,0,1069.52,0,0,15.9468,0,0,0,0,0,0,0,0,0.617365,0,0,0,0,0,
11354.00,320,0,0,230.12,0,0,0,257.485,0,0,0,0,0,0,0,0,0,0,0,0,0,110.604,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.80708e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,43583.9,0,0,0,0,0,560917,1.00361e+06,127379,3.6355e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,394.053,0,0,0,0,0,1075.94,0,0,16.6858,0,0,0,0,0,0,0,0,0.605947,0,0,0,0,0,
11719.00,320,0,0,230.283,0,0,0,257.112,0,0,0,0,0,0,0,0,0,0,0,0,0,109.598,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,3.96634e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,43397.4,0,0,0,0,0,560917,1.00361e+06,127379,3.78017e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,395.969,0,0,0,0,0,1081.89,0,0,17.1279,0,0,0,0,0,0,0,0,0.604031,0,0,0,0,0,
12084.00,320,0,0,230.553,0,0,0,256.567,0,0,0,0,0,0,0,0,0,0,0,0,0,107.014,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.12204e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,41664.3,0,0,0,0,0,560917,1.00361e+06,127379,3.92363e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,389.334,0,0,0,0,0,1087.32,0,0,17.245,0,0,0,0,0,0,0,0,0.610666,0,0,0,0,0,
12450.00,320,0,0,230.688,0,0,0,256.599,0,0,0,0,0,0,0,0,0,0,0,0,0,101.714,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.26815e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,38399.2,0,0,0,0,0,560917,1.00361e+06,127379,4.06398e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,377.521,0,0,0,0,0,1092.26,0,0,16.9937,0,0,0,0,0,0,0,0,0.622479,0,0,0,0,0,
12815.00,320,0,0,230.768,0,0,0,256.146,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7044,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.40264e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,35306.7,0,0,0,0,0,560917,1.00361e+06,127379,4.19896e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,361.362,0,0,0,0,0,1096.7,0,0,16.4792,0,0,0,0,0,0,0,0,0.638638,0,0,0,0,0,
13180.00,320,0,0,230.846,0,0,0,255.963,0,0,0,0,0,0,0,0,0,0,0,0,0,94.8278,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.52606e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,32546.3,0,0,0,0,0,560917,1.00361e+06,127379,4.32742e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,343.215,0,0,0,0,0,1100.79,0,0,15.8472,0,0,0,0,0,0,0,0,0.656785,0,0,0,0,0,
13545.00,320,0,0,230.877,0,0,0,256.013,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0199,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.6414e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,30744.6,0,0,0,0,0,560917,1.00361e+06,127379,4.44969e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,327.001,0,0,0,0,0,1104.65,0,0,15.2619,0,0,0,0,0,0,0,0,0.672999,0,0,0,0,0,
13911.00,320,0,0,230.901,0,0,0,255.639,0,0,0,0,0,0,0,0,0,0,0,0,0,93.6501,0,0,0,0,0,7.19702e+07,1.01717e+08,1.26107e+07,4.7507e+08,1.71538e+08,1.85343e+08,6.80809e+07,0,4.11633e+08,0,0,0,29011.5,0,0,0,0,0,560917,1.00361e+06,127379,4.56618e+06,1.69046e+06,1.70932e+06,671258,0,4.2177e+06,0,0,0,309.786,0,0,0,0,0,1108.33,0,0,14.6123,0,0,0,0,0,0,0,0,0.690214,0,0,0,0,0,